symbol,cohesive_energy,K,K',volume_per_atom,e_vacform,e_vacmig
Ac,3.70,21.63,2.03,45.37,1.26,0.45
Ag,2.49,84.11,5.15,17.87,0.68,0.70
Al,3.43,76.90,4.23,16.47,0.61,0.58
Ar,0.02,1.60,3.45,45.00,0.01,0.06
Au,2.99,136.19,7.45,18.07,0.40,0.53
Ba,1.87,8.01,2.81,64.13,1.09,0.36
Be,3.64,116.96,3.90,7.88,-0.06,0.75
Ca,1.91,16.82,1.70,42.17,1.13,0.47
Cd,0.74,41.66,5.71,22.60,0.30,0.23
Ce,4.58,37.65,4.10,26.10,1.30,0.54
Co,4.92,251.54,5.17,10.30,1.84,1.45
Co_mag,5.11,209.89,5.07,10.90,1.79,1.01
Cs,0.70,2.40,2.36,116.46,0.34,0.13
Cu,3.48,136.99,5.86,11.97,1.07,0.72
Dy,4.23,,,31.37,1.72,
Er,1.55,16.02,2.66,40.96,1.02,0.47
Fe,4.69,283.59,4.89,10.22,2.32,1.38
Ga,2.61,29.64,6.02,18.91,-0.04,0.18
Ge,3.40,,,19.51,0.10,
He,0.01,1.60,3.36,16.54,0.00,0.02
Hf,6.41,107.35,3.59,22.26,2.09,0.81
Ho,4.20,40.86,4.04,30.88,1.74,0.73
In,2.31,33.65,4.53,27.33,0.28,0.23
Ir,7.23,345.27,5.44,14.53,1.55,2.54
K,0.86,3.20,6.19,73.60,0.34,0.16
Kr,0.02,0.80,7.90,57.44,0.00,0.07
La,4.22,24.83,3.36,37.10,1.44,0.21
Li,1.61,13.62,3.75,20.22,0.60,0.13
Mg,1.49,36.05,4.04,23.03,0.82,0.41
Mn,3.76,276.38,5.42,10.73,2.38,0.65
Mn_mag,3.76,275.57,5.58,10.72,2.36,0.69
Na,1.11,9.61,3.08,35.08,0.38,0.14
Ni,4.77,197.87,5.29,10.85,1.39,0.94
Ni_mag,4.83,193.06,5.45,10.90,1.43,1.08
Os,8.17,398.14,4.99,14.29,2.75,2.73
Pa,6.86,96.13,4.16,25.21,1.54,0.77
Pb,2.94,39.25,4.07,31.69,0.45,0.54
Pd,3.71,165.83,6.62,15.37,1.16,0.95
Pr,3.58,,,23.79,0.76,
Pt,5.45,246.74,6.10,15.67,0.61,1.24
Rb,0.76,2.40,7.13,90.81,0.30,0.14
Re,7.73,366.10,4.73,14.94,2.94,1.81
Rh,5.63,250.74,5.86,14.13,1.57,1.79
Ru,6.56,314.03,4.81,13.88,2.51,1.85
Sc,4.09,54.47,4.07,24.43,2.07,0.60
Sn,3.11,46.46,6.10,27.82,0.26,0.38
Sr,1.61,11.22,3.72,54.74,0.95,0.45
Ta,8.09,198.67,3.86,18.63,2.23,
Tb,4.26,38.45,4.55,31.88,1.75,0.71
Tc,6.84,298.81,4.91,14.50,2.62,1.17
Th,6.34,55.28,3.50,32.07,1.92,1.25
Ti,5.43,102.54,2.89,17.25,1.95,0.45
Tl,1.99,27.24,5.55,30.50,0.37,0.10
W,7.98,,,16.25,1.67,
Xe,0.03,0.80,2.22,80.21,0.01,0.09
Y,4.14,38.45,4.10,32.35,1.72,0.67
Zr,6.21,90.52,4.42,23.26,2.02,0.50