symbol,cohesive_energy,K,K',volume_per_atom,e_vacform,e_vacmig_v,e_vacmig
Ag,2.49,82.51,5.15,17.93,0.76,0.50,0.60
Al,3.40,74.50,4.70,16.63,0.62,0.41,0.46
Ar,0.02,0.88,7.43,46.11,0.01,0.06,
Au,2.98,130.58,7.58,18.10,0.40,0.49,0.57
Ba,1.87,8.01,3.38,63.55,1.11,0.34,0.37
Be,3.72,122.57,3.57,7.92,1.04,0.74,0.87
Bi,2.38,,,31.44,0.00,,
Ca,1.91,17.62,3.44,42.39,1.06,0.38,0.42
Cd,0.74,43.26,6.04,22.60,0.25,0.23,0.16
Ce,4.49,,,26.43,1.23,,
Co,4.90,248.34,3.29,10.33,1.67,1.02,1.19
Co_mag,5.12,214.69,4.91,10.85,1.93,0.81,0.78
Cr,3.63,,,11.77,1.77,,
Cs,0.70,1.60,7.60,116.42,0.31,0.12,0.13
Cu,3.47,134.58,5.61,12.00,1.04,0.57,0.69
Fe,4.77,288.39,5.60,10.16,2.43,1.52,1.51
Ga,2.60,44.06,4.37,18.92,0.21,0.12,0.16
Ge,3.40,,,19.25,0.26,,
He,0.01,1.60,3.46,16.54,0.00,0.02,0.01
Hf,6.48,112.95,3.59,22.26,2.26,0.89,1.00
In,2.31,32.84,4.68,27.40,0.31,0.20,0.21
Ir,7.16,339.66,3.32,14.60,1.25,1.57,1.95
K,0.86,3.20,5.95,73.72,0.35,0.12,0.14
Kr,0.02,0.80,6.73,58.10,0.00,0.07,0.07
La,4.20,,,37.42,1.45,,
Li,1.61,13.62,3.82,20.24,0.63,0.10,0.12
Mg,1.50,36.05,4.31,22.85,0.78,0.40,0.42
Mn,3.82,190.66,11.04,10.63,2.51,0.43,0.11
Mo,5.91,,,15.95,1.96,,
Nb,6.71,,,18.61,2.08,,
Ne,0.01,6.41,1.65,19.15,-0.01,0.04,0.04
Ni,4.74,134.58,12.07,10.87,1.35,0.69,0.79
Ni_mag,4.81,192.26,5.34,10.94,1.37,0.77,0.89
Os,8.31,406.15,5.04,14.23,3.03,3.03,3.22
Pa,3.09,90.52,3.96,15.12,0.28,0.38,
Pb,2.92,37.65,4.49,31.51,0.41,0.44,0.41
Pd,3.67,163.42,6.50,15.45,1.10,0.68,0.73
Pt,5.39,241.13,6.22,15.77,0.70,0.70,
Rb,0.76,2.40,6.45,91.19,0.32,0.13,0.12
Re,7.79,370.10,4.67,14.89,3.42,1.79,1.17
Rh,5.59,250.74,5.76,14.18,1.53,1.25,1.47
Ru,6.68,311.62,5.16,13.81,2.68,2.17,2.18
Sc,4.14,52.87,4.82,24.48,1.87,0.74,0.69
Si,4.04,85.72,4.88,14.35,0.08,0.04,0.26
Sn,3.11,47.26,5.92,27.55,0.40,0.31,0.33
Sr,1.61,11.22,3.77,55.16,0.98,0.36,0.40
Ta,8.05,,,18.55,2.35,,
Tc,6.91,302.01,4.90,14.44,2.85,1.21,0.63
Te,2.23,48.87,5.03,31.47,0.25,,
Ti,5.49,109.75,5.07,17.29,2.06,0.49,0.59
Tl,2.01,25.63,5.47,30.97,0.40,0.23,0.16
V,5.15,,,13.75,1.84,,
W,7.96,,,16.32,2.44,,
Xe,0.03,0.80,2.32,79.60,0.01,0.07,0.08
Y,4.16,40.05,3.72,32.82,1.87,0.69,0.67
Zn,1.10,73.70,6.02,15.23,0.47,0.34,0.20
Zr,6.25,93.73,4.34,23.44,2.03,0.57,0.70